Datetime,AEP_MW
2004-10-01,14284.521739130434
2004-10-02,12999.875
2004-10-03,12227.083333333334
2004-10-04,14309.041666666666
2004-10-05,14439.708333333334
2004-10-06,14424.791666666666
2004-10-07,14449.416666666666
2004-10-08,14350.333333333334
2004-10-09,12934.541666666666
2004-10-10,12260.375
2004-10-11,14299.75
2004-10-12,14614.916666666666
2004-10-13,14454.416666666666
2004-10-14,14484.0
2004-10-15,14536.708333333334
2004-10-16,13602.708333333334
2004-10-17,13098.5
2004-10-18,15425.666666666666
2004-10-19,14807.291666666666
2004-10-20,14519.416666666666
2004-10-21,14377.75
2004-10-22,14311.125
2004-10-23,13254.958333333334
2004-10-24,12438.666666666666
2004-10-25,14476.625
2004-10-26,14653.791666666666
2004-10-27,14448.833333333334
2004-10-28,14327.666666666666
2004-10-29,14260.291666666666
2004-10-30,12924.291666666666
2004-10-31,12322.95652173913
2004-11-01,14322.083333333334
2004-11-02,14584.291666666666
2004-11-03,14649.541666666666
2004-11-04,15018.708333333334
2004-11-05,14933.875
2004-11-06,13901.083333333334
2004-11-07,12943.583333333334
2004-11-08,15143.708333333334
2004-11-09,16267.291666666666
2004-11-10,16043.291666666666
2004-11-11,15664.416666666666
2004-11-12,15562.0
2004-11-13,14462.25
2004-11-14,14411.25
2004-11-15,16104.458333333334
2004-11-16,15800.291666666666
2004-11-17,15380.333333333334
2004-11-18,15138.541666666666
2004-11-19,14723.125
2004-11-20,13348.625
2004-11-21,12979.583333333334
2004-11-22,14868.458333333334
2004-11-23,14876.208333333334
2004-11-24,14892.083333333334
2004-11-25,13275.916666666666
2004-11-26,14436.291666666666
2004-11-27,14117.541666666666
2004-11-28,14175.416666666666
2004-11-29,16535.166666666668
2004-11-30,16353.791666666666
2004-12-01,16164.25
2004-12-02,16954.291666666668
2004-12-03,16584.625
2004-12-04,15612.166666666666
2004-12-05,14528.291666666666
2004-12-06,16014.833333333334
2004-12-07,15438.083333333334
2004-12-08,15608.833333333334
2004-12-09,16475.375
2004-12-10,15687.625
2004-12-11,15440.958333333334
2004-12-12,15316.333333333334
2004-12-13,17658.833333333332
2004-12-14,18754.291666666668
2004-12-15,18730.25
2004-12-16,18448.541666666668
2004-12-17,17319.958333333332
2004-12-18,16628.416666666668
2004-12-19,17187.458333333332
2004-12-20,20864.708333333332
2004-12-21,18654.791666666668
2004-12-22,17396.541666666668
2004-12-23,16382.75
2004-12-24,16470.916666666668
2004-12-25,16374.583333333334
2004-12-26,16073.125
2004-12-27,18350.541666666668
2004-12-28,18116.0
2004-12-29,16280.958333333334
2004-12-30,15242.916666666666
2004-12-31,14108.083333333334
2005-01-01,12995.708333333334
2005-01-02,13446.333333333334
2005-01-03,15164.041666666666
2005-01-04,15583.458333333334
2005-01-05,16226.875
2005-01-06,15618.791666666666
2005-01-07,16236.625
2005-01-08,15139.083333333334
2005-01-09,14576.166666666666
2005-01-10,16263.833333333334
2005-01-11,16427.083333333332
2005-01-12,15336.041666666666
2005-01-13,15025.833333333334
2005-01-14,16666.958333333332
2005-01-15,16563.875
2005-01-16,16705.333333333332
2005-01-17,20029.125
2005-01-18,20806.25
2005-01-19,19909.125
2005-01-20,18686.75
2005-01-21,18907.333333333332
2005-01-22,18296.375
2005-01-23,19291.125
2005-01-24,20646.958333333332
2005-01-25,18347.625
2005-01-26,17652.125
2005-01-27,19053.166666666668
2005-01-28,19482.833333333332
2005-01-29,17662.583333333332
2005-01-30,16087.75
2005-01-31,17794.583333333332
2005-02-01,17788.541666666668
2005-02-02,18189.375
2005-02-03,17136.416666666668
2005-02-04,17117.875
2005-02-05,15537.458333333334
2005-02-06,14592.25
2005-02-07,16022.583333333334
2005-02-08,15996.0
2005-02-09,16016.583333333334
2005-02-10,17753.958333333332
2005-02-11,18406.75
2005-02-12,15582.791666666666
2005-02-13,15112.25
2005-02-14,16165.791666666666
2005-02-15,15665.583333333334
2005-02-16,16206.625
2005-02-17,17533.666666666668
2005-02-18,18008.166666666668
2005-02-19,16511.916666666668
2005-02-20,15397.708333333334
2005-02-21,15926.958333333334
2005-02-22,16116.916666666666
2005-02-23,16311.125
2005-02-24,17525.958333333332
2005-02-25,17292.458333333332
2005-02-26,15635.666666666666
2005-02-27,15252.166666666666
2005-02-28,17102.5
2005-03-01,18429.166666666668
2005-03-02,18563.416666666668
2005-03-03,18121.083333333332
2005-03-04,17663.375
2005-03-05,15418.875
2005-03-06,14247.375
2005-03-07,15471.958333333334
2005-03-08,17429.083333333332
2005-03-09,17907.0
2005-03-10,17568.166666666668
2005-03-11,17016.541666666668
2005-03-12,15855.416666666666
2005-03-13,14973.916666666666
2005-03-14,16623.958333333332
2005-03-15,16567.791666666668
2005-03-16,16755.291666666668
2005-03-17,16447.75
2005-03-18,15823.875
2005-03-19,14655.375
2005-03-20,14042.708333333334
2005-03-21,15904.416666666666
2005-03-22,15955.416666666666
2005-03-23,15837.0
2005-03-24,15992.083333333334
2005-03-25,14799.083333333334
2005-03-26,13675.458333333334
2005-03-27,13144.125
2005-03-28,15044.625
2005-03-29,14947.625
2005-03-30,14560.0
2005-03-31,14203.958333333334
2005-04-01,14514.916666666666
2005-04-02,14583.75
2005-04-03,13696.565217391304
2005-04-04,14676.041666666666
2005-04-05,14449.541666666666
2005-04-06,14052.333333333334
2005-04-07,14143.625
2005-04-08,13975.875
2005-04-09,12652.291666666666
2005-04-10,12032.75
2005-04-11,13733.125
2005-04-12,13982.0
2005-04-13,14445.458333333334
2005-04-14,14462.75
2005-04-15,14115.916666666666
2005-04-16,12903.541666666666
2005-04-17,12362.916666666666
2005-04-18,14115.5
2005-04-19,14473.25
2005-04-20,14409.875
2005-04-21,14008.125
2005-04-22,14138.625
2005-04-23,14013.5
2005-04-24,14702.791666666666
2005-04-25,15002.833333333334
2005-04-26,14638.0
2005-04-27,14528.833333333334
2005-04-28,14665.125
2005-04-29,14395.458333333334
2005-04-30,13083.375
2005-05-01,12536.416666666666
2005-05-02,14784.541666666666
2005-05-03,15081.166666666666
2005-05-04,14844.958333333334
2005-05-05,14523.25
2005-05-06,14115.5
2005-05-07,12720.083333333334
2005-05-08,12020.791666666666
2005-05-09,14338.0
2005-05-10,14761.041666666666
2005-05-11,15259.0
2005-05-12,14483.75
2005-05-13,14350.666666666666
2005-05-14,12973.458333333334
2005-05-15,11930.0
2005-05-16,13848.583333333334
2005-05-17,14268.5
2005-05-18,14256.75
2005-05-19,14366.75
2005-05-20,13903.625
2005-05-21,12602.166666666666
2005-05-22,11987.083333333334
2005-05-23,13970.208333333334
2005-05-24,14024.041666666666
2005-05-25,14039.875
2005-05-26,14364.375
2005-05-27,13910.583333333334
2005-05-28,12106.541666666666
2005-05-29,11599.083333333334
2005-05-30,11953.75
2005-05-31,14312.708333333334
2005-06-01,14437.916666666666
2005-06-02,14351.875
2005-06-03,14436.916666666666
2005-06-04,14192.333333333334
2005-06-05,14844.083333333334
2005-06-06,17294.833333333332
2005-06-07,17529.333333333332
2005-06-08,17849.875
2005-06-09,18086.125
2005-06-10,18206.333333333332
2005-06-11,16007.833333333334
2005-06-12,15195.125
2005-06-13,17546.0
2005-06-14,17837.458333333332
2005-06-15,16173.833333333334
2005-06-16,15081.833333333334
2005-06-17,14551.333333333334
2005-06-18,13089.166666666666
2005-06-19,12794.833333333334
2005-06-20,15209.291666666666
2005-06-21,15987.375
2005-06-22,16714.583333333332
2005-06-23,16777.541666666668
2005-06-24,17527.125
2005-06-25,16828.708333333332
2005-06-26,16417.833333333332
2005-06-27,18696.958333333332
2005-06-28,17930.875
2005-06-29,18107.333333333332
2005-06-30,17805.333333333332
2005-07-01,16864.083333333332
2005-07-02,14138.625
2005-07-03,13865.208333333334
2005-07-04,15090.833333333334
2005-07-05,16217.166666666666
2005-07-06,16169.375
2005-07-07,15614.583333333334
2005-07-08,15660.416666666666
2005-07-09,14912.875
2005-07-10,14951.541666666666
2005-07-11,17328.791666666668
2005-07-12,18538.125
2005-07-13,17670.5
2005-07-14,17303.583333333332
2005-07-15,17789.666666666668
2005-07-16,16673.041666666668
2005-07-17,16139.75
2005-07-18,18552.083333333332
2005-07-19,18644.166666666668
2005-07-20,18460.041666666668
2005-07-21,19062.333333333332
2005-07-22,18560.666666666668
2005-07-23,16844.875
2005-07-24,16400.666666666668
2005-07-25,19558.458333333332
2005-07-26,19786.333333333332
2005-07-27,17875.833333333332
2005-07-28,16566.416666666668
2005-07-29,16528.25
2005-07-30,15500.125
2005-07-31,15511.666666666666
2005-08-01,18207.25
2005-08-02,19052.625
2005-08-03,19315.166666666668
2005-08-04,19220.875
2005-08-05,18150.958333333332
2005-08-06,15996.083333333334
2005-08-07,15543.958333333334
2005-08-08,17592.0
2005-08-09,18250.25
2005-08-10,18654.125
2005-08-11,18545.5
2005-08-12,19154.166666666668
2005-08-13,17860.458333333332
2005-08-14,16065.958333333334
2005-08-15,17362.416666666668
2005-08-16,17202.041666666668
2005-08-17,17365.666666666668
2005-08-18,17383.458333333332
2005-08-19,18340.583333333332
2005-08-20,17447.708333333332
2005-08-21,16248.0
2005-08-22,16499.125
2005-08-23,15917.166666666666
2005-08-24,15938.458333333334
2005-08-25,16654.541666666668
2005-08-26,16405.041666666668
2005-08-27,15288.541666666666
2005-08-28,15115.375
2005-08-29,16634.125
2005-08-30,16710.875
2005-08-31,16661.291666666668
2005-09-01,16492.583333333332
2005-09-02,16113.333333333334
2005-09-03,13849.041666666666
2005-09-04,13017.333333333334
2005-09-05,13227.416666666666
2005-09-06,15645.625
2005-09-07,15969.416666666666
2005-09-08,16218.75
2005-09-09,16360.666666666666
2005-09-10,15255.791666666666
2005-09-11,14536.625
2005-09-12,16653.083333333332
2005-09-13,17009.916666666668
2005-09-14,16864.625
2005-09-15,16768.041666666668
2005-09-16,16122.75
2005-09-17,13997.5
2005-09-18,13621.541666666666
2005-09-19,15671.333333333334
2005-09-20,16068.375
2005-09-21,15855.875
2005-09-22,16508.708333333332
2005-09-23,16086.125
2005-09-24,14319.708333333334
2005-09-25,14195.208333333334
2005-09-26,15602.791666666666
2005-09-27,15028.083333333334
2005-09-28,14954.0
2005-09-29,14498.416666666666
2005-09-30,13901.583333333334
2005-10-01,12885.666666666666
2005-10-02,13123.541666666666
2005-10-03,15663.333333333334
